Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
29,BUENOS AIRES,BA,CHIVILCOY,10,SI,NO,NO,92.9,96.1,82.3,98.4,25.3,95.1,76.2,71.5,65.1,82.1,89,60.5,NO,SI
30,BUENOS AIRES,BA,COLON,8,SI,NO,NO,92,96.3,81.9,98.6,18.5,94.3,74.7,60.4,72.5,76.9,87,50.6,SI,SI
31,BUENOS AIRES,BA,CORONEL DE MARINA L ROSALES,4,SI,SI,NO,95.8,97.2,95.7,99.2,22.6,97.7,77,82.8,59.9,89.4,93,68.5,SI,SI
32,BUENOS AIRES,BA,CORONEL DORREGO,4,SI,SI,NO,96.4,97.7,84.2,99.3,18.7,97.8,72.7,75.5,68.6,77.7,87.4,56.7,SI,NO
33,BUENOS AIRES,BA,CORONEL PRINGLES,5,SI,NO,NO,94.7,96.3,90.5,98.8,24.9,96.3,80,66.1,69.5,81.6,88.5,58.6,SI,NO
34,BUENOS AIRES,BA,CORONEL SUAREZ,8,SI,NO,NO,96.9,97.6,87.4,99.2,24.6,98.4,54.5,81.3,71.9,82.4,88.6,61,NO,NO
35,BUENOS AIRES,BA,DAIREAUX,4,SI,SI,NO,92.1,95.9,86.2,98.2,18.2,96.5,69.5,58,65.9,79.8,86.8,57.4,NO,SI
36,BUENOS AIRES,BA,DOLORES,3,SI,SI,NO,93.6,91.2,72.7,98.2,26.3,91.9,56.6,61.8,69.9,78.3,87.3,58.3,SI,SI
37,BUENOS AIRES,BA,ENSENADA,3,SI,SI,NO,85.5,91.9,94.7,96.2,20.9,87.6,61.7,60.1,71.8,81.7,91.3,56.6,NO,SI
38,BUENOS AIRES,BA,ESCOBAR,17,SI,NO,NO,84.1,89.3,27.6,96,29.4,86,21.8,48.6,68.7,82.6,92.4,59,SI,NO
39,BUENOS AIRES,BA,ESTEBAN ECHEVERRIA,6,SI,NO,NO,81.1,89.4,61,95.9,23.3,84.8,50.4,61.2,70.4,82.4,92.1,54.5,SI,NO
40,BUENOS AIRES,BA,EXALTACION DE LA CRUZ,3,SI,SI,NO,86.6,92.7,57,96.2,31.3,90.9,45.5,50.3,66.3,74.6,91.1,58.1,SI,NO
41,BUENOS AIRES,BA,EZEIZA,9,SI,NO,NO,78,87.7,49.4,96,20,82.8,35.7,55,72.9,76.8,91.7,51.4,SI,SI
42,BUENOS AIRES,BA,FLORENCIO VARELA,13,SI,NO,NO,72.5,87.5,83.2,94.5,15,77.7,46.8,45.4,73.6,77.9,90.3,44.6,NO,SI
